name,t_start,t_end,person,action
s06s03/02/001,1,19,8,1
s05s02/01/001,1,30,11,0
s05s03/08/001,1,25,7,7
s02s01/06/001,1,30,0,5
s04s03/01/001,1,21,6,0
s04s06/07/002,1,23,10,6
s03s05/07/002,1,24,7,6
s04s03/04/001,1,22,6,3
s06s02/01/001,1,31,4,0
s02s01/01/003,1,17,0,0
s03s04/02/002,1,17,6,1
s03s02/03/002,1,19,3,2
s02s07/08/002,1,25,5,7
s03s04/03/002,1,17,6,2
s02s03/03/001,1,21,3,2
s04s03/08/002,1,22,6,7
s01s03/04/002,1,24,1,3
s07s01/04/002,1,38,2,3
s07s03/04/002,1,23,12,3
s04s06/06/001,1,26,10,5
s03s02/07/001,1,23,3,6
s01s02/08/002,1,10,0,7
s04s03/06/001,1,26,6,5
s03s06/04/002,1,26,8,3
s06s02/08/001,1,27,4,7
s02s03/01/002,1,33,3,0
s03s04/04/001,1,36,6,3
s01s02/07/003,1,45,0,6
s01s02/01/001,1,45,0,0
s04s06/04/002,1,23,10,3
s01s07/04/002,1,33,2,3
s07s01/01/001,1,23,2,0
s06s02/02/002,1,19,4,1
s02s07/05/001,1,46,5,4
s05s02/08/002,1,24,11,7
s03s02/02/002,1,16,3,1
s02s01/08/001,1,18,0,7
s05s02/08/001,1,22,11,7
s06s03/03/001,1,15,8,2
s02s07/07/002,1,30,5,6
s04s02/01/001,1,23,9,0
s04s06/01/001,1,20,10,0
s03s02/03/001,1,27,3,2
s04s02/02/002,1,19,9,1
s03s04/08/001,1,24,6,7
s07s03/02/001,1,23,12,1
s06s04/03/001,1,19,10,2
s02s01/01/002,1,17,0,0
s02s07/02/002,1,13,5,1
s04s03/08/001,1,21,6,7
s06s02/07/001,1,24,4,6
s04s02/08/001,1,27,9,7
s03s06/08/001,1,18,8,7
s03s04/02/001,1,16,6,1
s03s05/03/002,1,20,7,2
s06s03/04/001,1,27,8,3
s07s03/08/002,1,26,12,7
s07s03/02/002,1,21,12,1
s04s02/06/001,1,23,9,5
s01s07/05/001,1,32,2,4
s03s02/07/002,1,22,3,6
s07s03/06/001,1,29,12,5
s05s02/03/002,1,28,11,2
s03s06/08/002,1,19,8,7
s06s02/03/001,1,17,4,2
s06s04/04/002,1,28,10,3
s02s06/03/002,1,23,4,2
s01s03/02/002,1,21,1,1
s02s03/04/001,1,26,3,3
s05s03/01/002,1,24,7,0
s06s04/06/001,1,40,10,5
s07s03/05/001,1,40,12,4
s07s01/08/002,1,25,2,7
s02s03/07/002,1,27,3,6
s01s03/05/001,1,22,1,4
s03s04/07/001,1,20,6,6
s06s04/08/002,1,24,10,7
s05s02/01/002,1,28,11,0
s01s07/02/001,1,12,2,1
s01s03/03/001,1,17,1,2
s04s02/04/002,1,28,9,3
s04s03/07/002,1,22,6,6
s04s02/07/002,1,26,9,6
s01s02/03/001,1,17,0,2
s06s02/02/001,1,16,4,1
s03s05/06/001,1,32,7,5
s02s06/04/002,1,24,4,3
s03s05/04/001,1,32,7,3
s07s03/01/001,1,24,12,0
s06s03/01/002,1,24,8,0
s02s03/01/001,1,34,3,0
s03s04/05/001,1,35,6,4
s02s06/07/002,1,19,4,6
s01s07/06/001,1,44,2,5
s04s03/03/002,1,18,6,2
s01s07/03/002,1,26,2,2
s03s04/07/002,1,24,6,6
s04s03/01/002,1,23,6,0
s01s02/03/002,1,16,0,2
s04s06/03/001,1,16,10,2
s04s02/02/001,1,10,9,1
s01s02/07/001,1,22,0,6
s02s06/04/001,1,23,4,3
s01s07/08/001,1,20,2,7
